name,set,img
Jeweled Lotus,Commander Legends,jeweled-lotus.jpg
Cabal Coffers,Modern Horizons 2,cabal-coffers.jpg
Aird Mesa,Zendikar rising,mesa.jpg
Swamp,Jurassic world collection,jswamp.jpg
Plains,Jurassic World Collection,jplains.jpg
Island,Jurassic World Collection,jisland.jpg
Swamp,Kamigawa: Neon Dynasty,kswamp.jpg
Swamp,Kamigawa: Neon Dyansty,kswamp2.jpg
Island,Kamigawa: Neon Dyansty,kisland.jpg
Island,Kamigawa: Neon Dyansty,kisland2.jpg
Plains,Kamigawa: Neon Dyansty,kplains.jpg
Plains,Kamigawa: Neon Dyansty,kplains2.jpg
Forest,Kamigawa: Neon Dyansty,kforest.jpg
Forest,Kamigawa: Neon Dyansty,kforest2.jpg
Mountain,Kamigawa: Neon Dyansty,kmountain.jpg
Mountain,Kamigawa: Neon Dyansty,kmountain2.jpg
Tishana's Tidebinder,Lost Caverns of Ixalan,tish.jpg
Opt,Strixhaven Mystical Archive,opt.jpg
Sword of Hearth and Home,Modren Horizons 2,heath.jpg
Demonic Tutor,Strixhaven Mystical Archive,demonic.jpg
Teferi Master of Time,Core set 2021,teferimt.jpg
Thassa Deep-Dwelling,Theros Beyond Death,thassa.jpg
The Tarrasque,Adventures in Forgotten Realms,tar.jpg
The Meathook Mssacre,Innistrad: Midnight Hunt,meathook.jpg
