name,type,lat,long,dates,disp
Acadia,NP,44.34774867659995, -68.2748484660232,7/23/2024-7/25/2024,National Park
Big Cypress,NPres,26.04878429646862, -81.07529404222194,10/5/2024,National Preserve
Ceader Creek & Belle Grove,NHP,39.010583431093735, -78.30396483010674,8/29/2024,National Historic Park
Shenandoah,NP,38.49049386523605, -78.46178063994944,8/27/2024-8/29/2024,National Park
Weir Farm,NHP,41.25774781799167, -73.45587257233741,9/27/2024,National Historic Park
John Fitzgerald Kennedy,NHS,42.34740901934283, -71.12337429102097,10/18/2024,National Historic Site
Fredrick Law Olmsted,NHS,42.32543336080815, -71.13228325847793,10/18/2024,National Historic Site
Boston,NHP,42.36035674684861, -71.05508461629267,10/18/2024,National Historic Park
Boston African American,NHS,42.35912201968068, -71.0651826114738,10/18/2024,National Historic Site
Minute Man,NHP,42.45433317118441, -71.30143511799872,10/19/2024,National Historic Park
Springfield Armory,NHS,42.10752406133906, -72.58125082779706,10/20/2024,National Historic Site
Delaware Water Gap,NRA,41.21918903447282, -74.87313813999978,11/1/2024,National Recration Area
Statue of Liberty,NM,40.68936283772997, -74.04416753878814,11/8/2024,National Monument
